Année;Trimestre;Numéro trimestre;Début trimestre;Fin trimestre;Indice fréquentation vélo;Indice fréquentation - Parc des Rives de Seine JO;Indice fréquentation - Parc des Rives de Seine WE-JF;Stationnement - Parcs concédés - Jour;Nombre moyen abonnés - Parcs concédés;Stationnement autocar - Parcs fermés;Volume trafic PIM;Vitesse moyenne PIM;Volume trafic BP;Vitesse moyenne BP;FREQ_VELIB;FREQ_METRO;FREQ_RERA_RERB;FREQ_BUS_PARIS;FREQ_T3;QUALITE_SERVICE_BUS;URL du rapport PDF complet
2016;2016 T1;T1;01/01/2016;31/03/2016;2.67;;;30517;32841;348;831.764705882353;15.4;5545.0;37.4;;392700000.0;124500000.0;88800000.0;26300000.0;92.7;
2017;2017 T1;T1;01/01/2017;31/03/2017;2.59;1731;3656;27149;31169;326;802.0;14.5;5455.0;37.1;;399700000.0;128000000.0;87800000.0;25900000.0;88.7;
2018;2018 T4;T4;01/10/2018;31/12/2018;3.31;3789;4625;25337;32385;438;743.0;13.2;5244.0;34.2;3412534;411900000.0;135400000.0;83300000.0;31400000.0;87.0;
2019;2019 T1;T1;01/01/2019;31/03/2019;2.65;3746;5880;23502;32408;565;707.0;13.3;5274.0;36.0;3721442;404300000.0;134400000.0;79600000.0;34800000.0;88.7;
2019;2019 T2;T2;01/04/2019;30/06/2019;3.47;6025;7500;22784;32293;677;676.0;11.7;5160.0;34.3;5184661;406700000.0;134100000.0;78400000.0;34800000.0;85.7;
2020;2020 T1;T1;01/01/2020;31/03/2020;4.52;3030;2900;21608;29577;506;606.0;13.0;4651.0;36.2;8474130;260500000.0;94800000.0;64300000.0;28000000.0;89.60000000000001;
2012;2012 T2;T2;01/04/2012;30/06/2012;2.44;;;31700;38428;444;965.294117647059;15.5;5657.0;37.1;;388100000.0;119400000.0;88700000.0;9600000.0;94.39999999999999;
2018;2018 T1;T1;01/01/2018;31/03/2018;1.98;1838;3938;25723;30612;354;739.0;14.1;5275.0;38.7;453187;407900000.0;133199999.99999999;85300000.0;27400000.0;89.1;
2013;2013 T2;T2;01/04/2013;30/06/2013;2.57;;;32473;37414;415;930.0;15.0;5634.0;35.8;;388500000.0;120000000.0;83700000.0;20800000.0;92.80000000000001;
2013;2013 T3;T3;01/07/2013;30/09/2013;2.71;;;26047;36658;399;830.0;15.6;5432.0;40.7;;334600000.0;105400000.0;72700000.0;18300000.0;92.10000000000001;
2016;2016 T2;T2;01/04/2016;30/06/2016;3.47;;;28199;32263;437;847.0;14.5;5442.0;34.5;;393700000.0;126000000.0;89100000.0;27200000.0;91.7;
2020;2020 T2;T2;01/04/2020;30/06/2020;5.5;8421;10444;8806;28978;11;469.0;14.5;4230.0;48.1;8025386;78100000.0;27700000.0;32900000.0;12900000.0;89.9;
2020;2020 T4;T4;01/10/2020;31/12/2020;5.46;3978;4511;14855;30054;102;585.0;13.1;5148.0;39.8;8891597;189800000.0;67099999.99999999;52300000.0;22900000.0;90.9;
2012;2012 T4;T4;01/10/2012;31/12/2012;2.49;;;37789;38493;303;920.0;14.7;5567.0;37.4;;413000000.0;126000000.0;89100000.0;11800000.0;93.5;
2021;2021 T2;T2;01/04/2021;30/06/2021;5.72;5959;6957;16190;29065;163;613.0;12.7;5201.0;37.8;10282314;216100000.0;74500000.0;54100000.0;25800000.0;89.7;https://cdn.paris.fr/paris/2021/11/26/1d8e1d06a72c527240d5b9aecd96d9b8.pdf
2011;2011 T4;T4;01/10/2011;31/12/2011;2.38;;;37100;39000;276;961.764705882353;15.0;5612.0;37.6;;404000000.0;124000000.0;92100000.0;10800000.0;95.5;
2017;2017 T3;T3;01/07/2017;30/09/2017;3.44;4077;7196;21795;30469;403;712.0;14.6;5176.0;38.7;;344000000.0;106500000.0;72900000.0;23400000.0;86.1;
2018;2018 T2;T2;01/04/2018;30/06/2018;2.9;5083;7516;24703;31221;466;785.0;13.8;5273.0;33.2;977695;388700000.0;119400000.0;87000000.0;27900000.0;87.7;
2019;2019 T3;T3;01/07/2019;30/09/2019;3.63;6254;7444;19609;31828;775;638.0;13.2;5171.0;39.1;7008196;358700000.0;115300000.0;69700000.0;30200000.0;86.5;
2014;2014 T2;T2;01/04/2014;30/06/2014;2.85;;;30695;35595;405;881.764705882353;14.9;5597.0;36.7;;389200000.0;119700000.0;89000000.0;23600000.0;91.60000000000001;
2020;2020 T3;T3;01/07/2020;30/09/2020;6.52;6278;6487;17738;29793;288;615.0;13.6;5238.0;39.2;13343782;224900000.0;74000000.0;58000000.0;20100000.0;88.2;
2021;2021 T3;T3;01/07/2021;30/09/2021;5.54;7690;8833;19504;29441;489;579.0;13.1;5017.0;39.0;10246026;265500000.0;86900000.0;55700000.0;24600000.0;88.8;https://cdn.paris.fr/paris/2022/02/04/fc1249e1388f6f6dbf1e6ddb0329f12e.pdf
2021;2021 T4;T4;01/10/2021;31/12/2021;5.56;4898;4963;23158;30006;475;613.0;11.7;4906.0;33.3;9111895;335700000.0;113000000.0;62200000.0;30300000.0;88.4;https://cdn.paris.fr/paris/2022/04/15/ea8157484cbd27e87b85bc4b8d96a064.pdf
2015;2015 T3;T3;01/07/2015;30/09/2015;2.85;;;23065;33544;398;759.411764705882;15.4;5373.0;40.3;;343600000.0;103700000.0;73700000.0;20500000.0;90.7;
2016;2016 T3;T3;01/07/2016;30/09/2016;3.08;;;22243;31504;459;773.0;15.1;5243.0;37.6;;334500000.0;102000000.0;75100000.0;22500000.0;91.0;
2011;2011 T1;T1;01/01/2011;31/03/2011;1.8;;;36100;39600;246;940.588235294118;16.3;5787.0;41.9;;392000000.0;120000000.0;93800000.0;10400000.0;95.7;
2019;2019 T4;T4;01/10/2019;31/12/2019;3.88;4293;4639;27434;29877;625;699.0;11.6;4981.0;30.9;8045782;328000000.0;112800000.0;77000000.0;34400000.0;88.4;
2015;2015 T2;T2;01/04/2015;30/06/2015;3.07;;;28674;34394;381;854.705882352941;14.5;5538.0;35.7;;390800000.0;122300000.0;87500000.0;25800000.0;91.0;
2011;2011 T2;T2;01/04/2011;30/06/2011;2.55;;;33400;39200;439;969.411764705882;15.2;5685.0;37.6;;392700000.0;119700000.0;96200000.0;10300000.0;95.19999999999999;
2012;2012 T1;T1;01/01/2012;31/03/2012;2.03;;;34465;38734;249;941.764705882353;16.0;5737.0;41.5;;400000000.0;123000000.0;92200000.0;11270000.0;95.89999999999999;
2013;2013 T4;T4;01/10/2013;31/12/2013;2.57;;;36038;37291;286;880.0;14.7;5519.0;36.3;;405700000.0;123100000.0;87100000.0;22400000.0;92.7;
2014;2014 T3;T3;01/07/2014;30/09/2014;2.76;;;26004;34580;391;797.647058823529;15.5;5470.0;41.0;;337000000.0;107200000.0;75500000.0;19900000.0;91.3;
2016;2016 T4;T4;01/10/2016;31/12/2016;3.14;;;29410;31670;378;835.0;14.2;5325.0;34.3;;397700000.0;125800000.0;87500000.0;25900000.0;90.9;
2017;2017 T2;T2;01/04/2017;30/06/2017;3.19;4180;7161;25191;30812;406;819.0;14.0;5281.0;33.2;;383800000.0;124600000.0;85600000.0;26400000.0;87.3;
2012;2012 T3;T3;01/07/2012;30/09/2012;2.68;;;27212;37665;413;838.235294117647;15.0;5469.0;41.0;;340600000.0;107800000.0;74500000.0;7900000.0;95.19999999999999;
2014;2014 T1;T1;01/01/2014;31/03/2014;2.51;;;32376;37155;242;858.235294117647;16.0;5652.0;41.5;;391900000.0;121500000.0;89400000.0;23300000.0;92.80000000000001;
2015;2015 T1;T1;01/01/2015;31/03/2015;2.38;;;30182;34484;253;824.117647058824;15.5;5609.0;40.3;;387500000.0;119500000.0;87300000.0;24900000.0;91.8;
2021;2021 T1;T1;01/01/2021;31/03/2021;5.22;3810;4831;14627;29136;62;595.0;12.9;5124.0;39.8;7590110;198000000.0;67400000.0;50000000.0;23800000.0;91.10000000000001;https://cdn.paris.fr/paris/2021/10/04/8fdcf856616c834bf11f93e5961206ff.pdf
2022;2022T1;T1;01/01/2022;31/03/2022;3.93;4541;5650;17813;28993;430;590.0;12.9;5033.0;37.7;8613268;308600000.0;105700000.0;59600000.0;30900000.0;90.6;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_129.pdf
2015;2015 T4;T4;01/10/2015;31/12/2015;2.6;;;30213;34033;316;842.352941176471;14.7;5445.0;35.7;;398000000.0;123600000.0;88100000.0;25700000.0;90.8;
2017;2017 T4;T4;01/10/2017;31/12/2017;3.15;2884;4169;28253;30571;337;789.0;13.6;5273.0;33.9;;411200000.0;133400000.0;86700000.0;27900000.0;87.4;
2011;2011 T3;T3;01/07/2011;30/09/2011;2.82;;;26900;38300;413;868.235294117647;15.9;5608.0;43.2;;335500000.0;105300000.0;78800000.0;8140000.000000001;96.1;
2018;2018 T3;T3;01/07/2018;30/09/2018;2.68;5445;7625;20442;31685;507;697.0;14.7;5284.0;39.9;2300270;351100000.0;108600000.0;73500000.0;24000000.0;86.1;
2022;2022T2;T2;01/06/2022;31/08/2022;5.24;7583;7960;19952;29350;572;613.0;12.1;4925.0;32.7;11650421;345000000.0;119700000.0;63500000.0;32300000.0;88.5;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_130.pdf
2013;2013 T1;T1;01/01/2013;31/03/2013;2.04;;;33070;38195;266;921.176470588235;15.5;5566.0;40.2;;394700000.0;120200000.0;81200000.0;19240000.0;94.0;
2014;2014 T4;T4;01/10/2014;31/12/2014;2.77;;;35795;35029;320;847.058823529412;14.6;5510.0;36.4;;408000000.0;125600000.0;87600000.0;24600000.0;87.6;
